5001,Rohit Sharma,1987-04-30,Nagpur,170,Batsman,Right,Right-arm offbreak,5
5002,KL Rahul,1992-04-18,Banglore,180,Wicket-keeper-batsman,Right,Pace Bowling,5
5003,MS Dhoni,1981-07-07,Ranchi,175,Wicket-keeper-batsman,Right,Right-arm medium,5
5004,Hardik pandya,1993-10-11,Choryasi,183,All-rounder,Right,Right-arm fast-medium,5
5005,Shreyas Iyer,1994-11-06,Mumbai,178,Batsman,Right,Legbreak googly,5
5006,Manish Pandey,1989-09-10,Nainital,173,Batsman,Right,Right-arm medium,5
5007,Dinesh Kartik,1985-06-01,Chennai,170,Wicket-keeper-batsman,Right,Right-arm off spin,5
5008,Kuldeep Yadav,1994-12-14,Kanpur,168,Bowler,Left,Slow left arm chinaman,5
5009,Jaspreet Bumrah,1993-11-06,Ahmedabad,178,Bowler,Right,Right-arm fast,5
5010,Jaydev Unadkat,1991-10-18,Porbandar,175,Bowler,Right,Left-arm medium,5
5011,Yuzvendra Chahal,1990-07-23,Jind,168,Bowler,Right,Legbreak googly,5
5012,Shikhar Dhawan,1985-12-05,Delhi,170,Batsman,Left,,5
5013,Rishabh Pant,1997-10-04,Haridwar,160,Wicket-keeper-batsman,Left,,5
5014,Shivam Dube,1993-06-26,Mumbai,177,All-rounder,Left,Right-arm medium,5
5015,Khaleel Ahmed,1997-12-05,Rajasthan,175,Bowler,Right,Right-arm medium,5
5016,Washington Sunder,1999-10-05,Chennai,177,All-rounder,Left,Right-arm offbreak,5
5017,Deepak Chahar,1992-08-07,Agra,170,Bowler,Right,Right-arm medium,5
5018,Virat Kohli,1988-11-05,Delhi,175,Batsman,Right,Right-arm medium,5
5019,Ravindra Jadeja,1988-12-06,Saurashtra,175,All-rounder,Left,Left-arm medium,5
5020,Bhuvneshwar Kumar,1990-02-05,Meerut,168,Bowler,Right,Right-arm medium,5
10001,Niroshan Dickwella,1993-06-23,Kandy,175,Wicket-keeper-batsman,Left,,10
10002,Upul Tharanga,1995-02-02,Balapitiya,180,Batsman,Left,,10
10003,Kusal Perera,1990-08-17,Balapitiya,180,Batsman,Left,,10
10004,Asela Gunartne,1996-01-07,Kandy,185,Batsman,Right,Right-arm medium fast,10
10005,Thisara Perera,1989-04-03,Colombo,185,All-rounder,Right,Right-arm medium fast,10
2001,Aaron Finch ,1986-11-17,Colac,170,Batsman,Right,Left-arm orthodox,2
2002,Alex Carey ,1991-08-27,Loxton,180,Wicket-keeper-batsman,Left,,2
2003,Pat Cummins,1993-05-08,Westmead,175,All-rounder,Right,Right-arm fast,2
2004,Jason Behrendorff,1990-04-20,Camden,183,Bowler,Right,Left-arm fast-medium,2
2005,Nathan Coulter-Nile,1987-10-11,Osborne Park,178,Bowler,Right,Right-arm fast,2
2006,Usman Khawaja,1986-12-18,Islamabad,173,Batsman,Left,Right-arm off spin,2
2007,Nathan Lyon,1987-11-20,Young,170,Bowler,Right,Right-arm off spin,2
2008,Shaun Marsh,1983-07-09,Narrogin,168,Batsman,Left,Left-arm orthodox,2
2009,Glenn Maxwell,1988-10-14,Kew,178,All-rounder,Right,Right-arm off spin,2
2010,Kane Richardson,1991-02-12,Eudunda,175,Bowler,Right,Right-arm fast-medium,2
2011,Steve Smith,1989-06-02,Sydney,168,Batsman,Right,Right-arm leg spin,2
2012,Mitchell Starc,1990-01-30,Baulkham Hills,170,Bowler,Left,Left-arm fast,2
2013,Marcus Stoinis,1989-08-16,Perth,168,All-rounder,Right,Right-arm medium,2
2014,David Warner,1986-10-27,Paddington,178,Batsman,Left,Right-arm leg spin,2
2015,Adam Zampa,1992-03-31,Shellharbour,175,Bowler,Right,Right-arm leg spin,2
2016,Jhye Richardson,1996-09-20,Murdoch,168,Bowler,Right,Right-arm fast,2
2017,Ben McDermott,1994-12-12,Brisbane,170,Wicket-keeper-batsman,Right,Right-arm medium ,2
2018,Ashton Turner,1993-01-25,Perth,165,All-rounder,Right,Right-arm off break,2
2019,Ashton Agar,1993-10-14,Melbourne,168,Bowler,Left,Left-arm orthodox,2
3001,Mashrafe Mortaza,1983-10-05,Dhaka,170,Bowler,Right,Right-arm medium,3
3002,Shakib Al Hasan,1987-03-24,Chittagong,180,All-rounder,Left,Left-arm orthodox,3
3003,Tamim Iqbal,1989-03-20,Khulna,175,Batsman,Left,Right-arm off spin,3
3004,Liton Das,1994-10-13,Sylhet,183,Wicket-keeper-batsman,Right,,3
3005,Mushfiqur Rahim,1987-05-09,Dhaka,178,Wicket-keeper-batsman,Right,Right-arm medium,3
3006,Mahmudullah,1986-02-04,Khulna,173,Batsman,Right,Right arm off spin,3
3007,Mohammad Mithun,1990-02-13,Sylhet,170,Wicket-keeper-batsman,Right,,3
3008,Sabbir Rahman,1991-11-22,Dhaka,168,Batsman,Right,Right arm leg spin,3
3009,Mehedi Hasan Miraz,1996-10-25,Sylhet,178,All-rounder,Right,Right-arm off spin,3
3010,Soumya Sarkar,1993-02-25,Dhaka,175,All-rounder,Left,Right-arm medium,3
3011,Rubel Hossain,1990-01-01,Khulna,168,Bowler,Right,Right-arm fast,3
3012,Mohammad Saifuddin,1996-09-01,Dhaka,170,All-rounder,Left,Right-arm medium-fast,3
3013,Mosaddek Hossain,1995-12-10,Sylhet,168,All-rounder,Right,Right-arm off spin,3
3014,Mustafizur Rahman,1995-09-06,Dhaka,178,Bowler,Left,Left-arm fast-medium,3
3015,Abu Jayed,1993-08-02,Chittagong,175,Bowler,Right,Right-arm fast-medium,3
3016,Mohammad Naim,1994-05-12,Dhaka,165,Batsman,Left,,3
3017,Afif Hossain,1995-12-10,Sylhet,170,All-rounder,Left,Right-arm offbreak,3
3018,Aminul Islam,1990-07-10,Chittagong,175,All-rounder,Right,Right-arm legbreak,3
3019,Shafiul Islam,1995-11-14,Dhaka,160,Bowler,Right,Right-arm fast-medium,3
3020,Al-Amin Hossain,1993-11-10,Sylhet,176,Bowler,Right,Right-arm fast-medium,3
4001,Eoin Morgan (c),1986-09-10,London,170,Batsman,Left,Right-arm medium,4
4002,"Jos Buttler (vc, wk)",1990-09-08,London,180,Wicket-keeper-batsman,Right,,4
4003,Moeen Ali,1987-06-18,Liverpool,175,All-rounder,Left,Right-arm off spin,4
4004,Jofra Archer,1995-04-01,Bristol,183,Bowler,Right,Right-arm fast,4
4005,Jonny Bairstow,1989-09-26,Liverpool,178,Wicket-keeper-batsman,Right,,4
4006,Tom Curran,1995-03-12,London,173,Bowler,Right,Right-arm fast-medium,4
4007,Liam Dawson,1990-03-01,Liverpool,170,All-rounder,Right,Slow left-arm orthodox,4
4008,Liam Plunkett,1985-04-06,London,168,Bowler,Right,Right-arm fast,4
4009,Adil Rashid,1988-02-17,Liverpool,178,Bowler,Right,Right-arm leg spin,4
4010,Joe Root,1990-12-30,Bristol,175,Batsman,Right,Right-arm spin,4
4011,Jason Roy,1990-07-21,Liverpool,168,Batsman,Right,,4
4012,Ben Stokes,1991-06-04,London,170,All-rounder,Left,Right-arm fast-medium,4
4013,James Vince,1991-03-14,Liverpool,168,Batsman,Right,Right-arm medium,4
4014,Chris Woakes,1989-03-02,Bristol,178,All-rounder,Right,Right-arm fast-medium,4
4015,Mark Wood,1990-01-11,London,175,Bowler,Right,Right-arm fast,4
4016,Joe Denly,1986-03-16,Liverpool,168,All-rounder,Right,Right-arm leg spin,4
4017,Alex Hales,1989-01-03,Bristol,178,Batsman,Right,Right-arm medium,4
4018,David Willey,1990-02-28,London,175,All-rounder,Left,Left-arm fast-medium,4
7001,Kane Williamson (c),1990-08-08,Auckland,170,Batsman,Right,Right-arm off spin,7
7002,"Tom Latham (vc, wk)",1992-04-02,Tauranga,180,Wicket-keeper-batsman,Left,Right-arm medium,7
7003,Tim Southee,1988-12-11,Tauranga,175,Bowler,Right,Right-arm medium-fast,7
7004,Tom Blundell,1990-09-01,Dunedin,183,Wicket-keeper-batsman,Right,Right-arm off spin,7
7005,Trent Boult,1989-07-22,Auckland,178,Bowler,Right,Left-arm fast-medium,7
7006,Colin de Grandhomme,1986-07-22,Hamilton,173,All-rounder,Right,Right-arm fast-medium,7
7007,Lockie Ferguson,1991-06-13,Hamilton,170,Bowler,Right,Right-arm fast,7
7008,Martin Guptill,1986-09-30,Auckland,168,Batsman,Right,Right-arm off spin,7
7009,Matt Henry,1991-12-14,Dunedin,178,Bowler,Right,Right-arm fast-medium,7
7010,Colin Munro,1987-03-11,Tauranga,175,Batsman,Left,Right-arm medium,7
7011,James Neesham,1990-09-17,Hamilton,168,All-rounder,Left,Right-arm medium,7
7012,Henry Nicholls,1991-11-15,Tauranga,170,Batsman,Left,Right-arm off spin,7
7013,Mitchell Santner,1992-02-05,Dunedin,168,All-rounder,Left,Left-arm orthodox,7
7014,Ish Sodhi,1992-10-31,Hamilton,178,Bowler,Right,Right-arm leg spin,7
7015,Ross Taylor,1984-03-08,Auckland,175,Batsman,Right,Right-arm off break,7
8001,Fakhar Zaman,1990-04-10,Karanchi,165,Batsman,Left,Left-arm orthodox,8
8002,Babar Azam,1994-10-15,Lahore,160,Batsman,Right,Right-arm off spin,8
8003,Haris Sohail,1989-10-15,Islamabad,162,Batsman,Left,Left-arm orthodox,8
8004,Mohammad Rizwan,1992-06-01,Karanchi,177,Wicket-keeper-batsman,Right,,8
8005,Asif Ali,1991-10-01,Islamabad,175,Batsman,Right,Right-arm medium-fast,8
8006,Iftikhar Ahmed,1990-09-03,Lahore,172,All-rounder,Right,Right-arm off break,8
8007,Imad Wasim,1988-12-18,Islamabad,169,All-rounder,Left,Left-arm orthodox,8
8008,Wahab Riaz,1985-06-28,Karanchi,168,Bowler,Right,Left-arm fast,8
8009,Shadab Khan,1998-10-04,Lahore,165,All-rounder,Right,Right-arm leg spin,8
8010,Mohammad Amir,1992-04-13,Karanchi,185,Bowler,Left,Left-arm fast,8
8011,Mohammad Irfan,1982-04-17,Karanchi,190,Bowler,Right,Left-arm fast-medium,8
2020,Coulter-Nile,1987-10-11,Sydney,176,Bowler,Right,Right-arm fast,2
5021,Kedar Jadhav,1985-03-26,Pune,165,All-Rounder,Right,Right-arm offbreak,5
5022,Mohammed Shami,1990-07-03,Bengal,170,Bowler,Right,Right-arm medium fast,5
5023,Suresh Raina,1986-11-27,Uttar Pradesh,165,Batsman,Left,Right-arm off break,5
5024,Umesh Yadav,1987-10-25,Nagpur,172,Bowler,Right,Right-arm fast,5
4019,Dawid Malan,1987-09-03,London,170,Batsman,Left,Right-arm legbreak,4
4020,Sam Billings,1991-06-15,Kent,168,Wicket-keeper-batsman,Right,,4
4021,Sam Curran,1998-06-03,London,165,All-rounder,Left,Left-arm medium fast,4
4022,lewis gregory,1992-05-24,Kent,175,All-rounder,Right,Right-arm medium fast,4
4023,chris jordan,1988-10-04,Barbados,177,Bowler,Right,Right-arm medium fast,4
4024,Patrick Brown,1982-01-26,Barbados,180,Wicket-keeper-batsman,Right,,4
7016,Tim seifert,1994-12-14,Aukland,165,Wicket-keeper-batsman,Right,,7
7017,Daryl Mitchell,1991-05-20,Hamilton,177,All-rounder,Right,Right-arm Medium,7
7018,Scoott Kuggeleijn,1995-06-06,Hamilton,177,All-rounder,Right,Right-arm Medium,7
8012,Imam-ul-Haq,1995-12-12,Lahore,170,Batsman,Left,,8
8013,Sarfraz Ahmed,1987-05-22,Karanchi,168,Wicket-keeper-batsman,Right,,8
8014,Shoaib Malik,1982-02-01,Lahore,175,All-rounder,Right,Right-arm offbreak,8
8015,Mohammad Nawaz,1994-03-21,Karanchi,177,All-rounder,Left,Left-arm medium fast,8
8016,Shaheen Afridi,1998-05-04,Islamabad,165,,Left,Left-arm medium fast,8
8017,Hasan Ali,1994-06-02,Islamabad,170,Bowler,Right,Right-arm Medium,8
5025,Ambati Rayudu,1985-09-23,Andhra Pradesh,168,Batsman,Right,Right-arm offbreak,5