1,Gerard Abood,Australia
2,Afzaal Ahmed,Pakistan
3,Mesbahuddin Ahmed,Pakistan
4,Javed Akhtar,Bangladesh
5,A. F. M. Akhtaruddin,Pakistan
6,Rizwan Akram,Bangladesh
7,Jahangir Alam,Netherlands
8,Brian Aldridge,Bangladesh
9,Akbar Ali,New Zealand
10,Iftikhar Ali,United Arab Emirates
11,Masroor Ali,United Arab Emirates
12,Bill Alley,Pakistan
13,Phillip Alleyne,England
14,Ignatius Anandappa,West Indies
15,Basil Anthony,Sri Lanka
16,David Archer,Sri Lanka
17,Sudhir Asnani,West Indies
18,Tariq Ata,India
19,Khalid Aziz,Pakistan
20,Saleem Badar,Pakistan
21,Niels Bagh,Pakistan
22,Rob Bailey,Denmark
23,Robin Bailhache,England
24,Mohamed Baksh,Australia
25,Chris Balderstone,West Indies
26,Paul Baldwin,England
27,Sameer Bandekar,England
28,Subrata Banerjee,United States
29,S. K. Bansal,India
30,Kevan Barbour,India
31,Lloyd Barker,Zimbabwe
32,Gary Baxter,West Indies
33,Karran Bayney,New Zealand
34,Danzel Becker,Canada
35,Mark Benson,South Africa
36,Aloke Bhattacharjee,England
37,Dickie Bird,India
38,Jack Birkenshaw,England
39,Roland Black,England
40,Sukha Bose,Ireland
41,Billy Bowden,India
42,Gregory Brathwaite,New Zealand
43,Bruce Bricknell,West Indies
44,Tom Brooks,New Zealand
45,Chris Brown,Australia
46,George Browne,New Zealand
47,Steve Bucknor,West Indies
48,Lloyd Budd,West Indies
49,Feroze Butt,England
50,Ghafoor Butt,Pakistan
51,Dooland Buultjens,Pakistan
52,Kevin Carmody,Sri Lanka
53,Iknow Chabi,Australia
54,Anil Chaudhary,Zimbabwe
55,Owen Chirombe,India
56,Vijay Chopra,Zimbabwe
57,S. Choudhary,India
58,Johan Cloete,India
59,Jack Collins,South Africa
60,David Constant,Australia
61,B. C. Cooray,England
62,William Copeland,Sri Lanka
63,Charles Coventry,Australia
64,Graham Cowan,Zimbabwe
65,Doug Cowie,New Zealand
66,Stan Cowman,New Zealand
67,Tony Crafter,New Zealand
68,Peter Cronin,Australia
69,Clyde Cumberbatch,Australia
70,Aleem Dar,West Indies
71,Tabarak Dar,Kenya
72,Salil Das,Pakistan
73,Narendra Dave,Hong Kong
74,Steve Davis,India
75,Asoka de Silva,Kenya
76,Eric Dempster,Australia
77,Sankara Dendapani,Sri Lanka
78,Suresh Deo,New Zealand
79,Kumar Dharmasena,India
80,Wilf Diedricks,India
81,Roger Dill,Sri Lanka
82,Rockie D'Mello,South Africa
83,Billy Doctrove,Bermuda
84,Dara Dotiwalla,West Indies
85,Alex Dowdalls,India
86,Barry Dudleston,Scotland
87,Nigel Duguid,England
88,Clyde Duncan,West Indies
89,Steve Dunne,West Indies
90,Gary Duperouzel,New Zealand
91,Ahmed Shah Durrani,Australia
92,Nilay Dutta,Afghanistan
93,Charlie Elliott,India
94,Ross Emerson,England
95,Marais Erasmus,Australia
96,Ahmed Esat,South Africa
97,David Evans,Zimbabwe
98,Graeme Evans,England
99,Ric Evans,Zimbabwe
100,Arthur Fagg,Australia
101,Herbi Felsinger,England
102,Jeff Fenwick,Sri Lanka
103,Nigel Fleming,Zimbabwe
104,K. T. Francis,Zimbabwe
105,Dick French,Sri Lanka
106,Simon Fry,Australia
107,Chris Gaffaney,Australia
108,Bhairab Ganguli,New Zealand
109,Ralph Gardiner,India
110,Johnny Gayle,New Zealand
111,Antonio Gaynor,West Indies
112,Shaun George,West Indies
113,Nadeem Ghauri,South Africa
114,Jiban Ghosh,Pakistan
115,Sunit Ghosh,India
116,Mohammad Ghouse,India
117,K. S. Giridharan,India
118,Francis Gomes,India
119,Fred Goodall,India
120,Quintin Goosen,New Zealand
121,Ralph Gosein,Zimbabwe
122,Madhav Gothoskar,West Indies
123,Michael Gough,India
124,Ian Gould,England
125,Ram Babu Gupta,England
126,Satish Gupta,India
127,Mahendra Gupte,India
128,V. M. Gupte,India
129,Allan Haggo,India
130,Zameer Haider,Scotland
131,Shaun Haig,Pakistan
132,Darrell Hair,New Zealand
133,Shahul Hameed,Australia
134,John Hampshire,Indonesia
135,Tej Handu,England
136,Lyndon Hannibal,India
137,S. N. Hanumantha Rao,Sri Lanka
138,Enamul Haque,India
139,Krishna Hariharan,Bangladesh
140,Les Harmer,India
141,Daryl Harper,New Zealand
142,Rocky Harris,Australia
143,Peter Hartley,Australia
144,Mick Harvey,England
145,Azhar Hasan,Australia
146,John Hastie,Pakistan
147,Mark Hawthorne,New Zealand
148,Khizer Hayat,Ireland
149,Sanjay Hazare,Pakistan
150,Ian Higginson,India
151,Tony Hill,New Zealand
152,Dalton Holder,New Zealand
153,John Holder,West Indies
154,Adrian Holdstock,England
155,Mohammed Hosein,South Africa
156,Sailab Hossain,West Indies
157,Ian Howell,Bangladesh
158,Karl Hurter,South Africa
159,Richard Illingworth,South Africa
160,Zafar Iqbal,England
161,Ray Isherwood,Pakistan
162,B. Jamula,Australia
163,Huub Jansen,India
164,Arani Jayaprakash,Netherlands
165,Lalith Jayasundara,India
166,Bongani Jele,Sri Lanka
167,Arthur Jepson,South Africa
168,Brian Jerling,England
169,Glenroy T. Johnson,South Africa
170,Mel Johnson,West Indies
171,Allan Jones,Australia
172,Phil Jones,England
173,Ray Julian,New Zealand
174,R. R. Kadam,England
175,Kantilal Kanjee,India
176,Alu Kapa,Zimbabwe
177,K. R. Karimanickam,Papua New Guinea
178,T. R. Kashyappan,India
179,B. R. Keshavamurthy,India
180,Richard K.,India
181,Babu Khan Tahir,England
182,Amanullah Khan,Pakistan
183,Islam Khan,Pakistan
184,Shakeel Khan,Pakistan
185,Siddiq Khan,Pakistan
186,Taufeeq Khan,Pakistan
187,Christopher King,Pakistan
188,Len King,New Zealand
189,David Kinsella,Australia
190,Swaroop Kishen,New Zealand
191,Mervyn Kitchen,India
192,Wayne Knights,England
193,Rudi Koertzen,New Zealand
194,O. Krishna,South Africa
195,Sudhakar Kulkarni,India
196,Vineet Kulkarni,India
197,Vinayak Kulkarni,India
198,Jose Kurushinkal,India
199,Lakshminarayan,India
200,Barry Lambson,India
201,John Langridge,South Africa
202,Barrie Leadbeater,England
203,Karl Liebenberg,England
204,Pim van Liemt,South Africa
205,Jermaine Lindo,Netherlands
206,Nigel Llong,United States
207,Jeremy Lloyds,England
208,Jeff Luck,England
209,Zainool Maccum,Namibia
210,Clancy Mack,West Indies
211,Syed Mahabubullah,West Indies
212,M. S. Mahal,Bangladesh
213,Norman Malcolm,India
214,Wesley Malcolm,West Indies
215,Iftikhar Malik,
216,Vijaya Mallela,West Indies
217,Neil Mallender,Pakistan
218,Peter Manuel,United States
219,Mick Martell,England
220,Bruce Martin,Sri Lanka
221,Ranmore Martinesz,Australia
222,Jeremiah Matibiri,Australia
223,Thomas McCall,Sri Lanka
224,Peter McConnell,Zimbabwe
225,Rodger McHarg,New Zealand
226,David McLean,Australia
227,Tony McQuillan,New Zealand
228,Rajan Mehra,Scotland
229,Narendra Menon,Australia
230,Nitin Menon,India
231,Barrie Meyer,India
232,Cyril Mitchley,India
233,Subhash Modi,England
234,Mohammad Aslam,South Africa
235,Sadiq Mohammad,Kenya
236,Sadique Mohammed,Pakistan
237,C. R. Mohite,Pakistan
238,Robert Monteith,West Indies
239,Basil Morgan,India
240,George Morris,New Zealand
241,R. Mrithyunjayan,West Indies
242,M. G. Mukherjee,New Zealand
243,Bala Murali,India
244,Nagaraja Rao,India
245,R. Nagarajan,India
246,Muhammed Nana,India
247,C. K. Nandan,South Africa
248,A. L. Narasimhan,India
249,David Narine,India
250,Rab Nawaz,West Indies
251,Mohammad Nazir,Pakistan
252,Alan Neill,Pakistan
253,Peter Nero,Ireland
254,Eddie Nicholls,West Indies
255,Sam Nogajski,West Indies
256,Christian Nyazika,Australia
257,Alan Oakman,Zimbabwe
258,Lakani Oala,Australia
259,Max O'Connell,England
260,David Odhiambo,Papua New Guinea
261,Dave Orchard,Kenya
262,Don Oslear,South Africa
263,Bruce Oxenford,England
264,Ahmed Shah Pakteen,Australia
265,Allahudien Paleker,Afghanistan
266,Ruchira P.,South Africa
267,Ken Palmer,Sri Lanka
268,Roy Palmer,England
269,Padmakar Pandit,England
270,Peter Parker,India
271,Stanton Parris,Australia
272,Bob Parry,West Indies
273,K. Parthasarathy,Australia
274,Nandasena P.,India
275,Cleophas Paynter,Sri Lanka
276,Camillus Perera,West Indies
277,Suren Phookan,Sri Lanka
278,Nigel Plews,India
279,Claire Polosak,England
280,Selliah Ponnadurai,Australia
281,K. T. Ponnambalam,Sri Lanka
282,Subroto Porel,Sri Lanka
283,Buddhi Pradhan,India
284,Sarika Prasad,Nepal
285,G. A. Pratapkumar,Singapore
286,Terry Prue,India
287,Ram Punjabi,Australia
288,Dave Quested,India
289,Saqib Qureshi,New Zealand
290,Ikram Rabbani,Pakistan
291,K. N. Raghavan,Pakistan
292,Anisur Rahman,India
293,Mahbubur Rahman,Bangladesh
294,Masudur Rahman,Bangladesh
295,Showkatur Rahman,Bangladesh
296,Des Raj,Bangladesh
297,R. T. Ramachandran,India
298,Ian Ramage,India
299,R. V. Ramani,Scotland
300,Kasturi Ramaswami,India
301,V. K. Ramaswamy,India
302,S. R. Ramchandra,India
303,Shakoor Rana,India
304,Steve Randell,Pakistan
305,Mansfield Rangi,Australia
306,Surya Prakash Rao,New Zealand
307,R. S. Rathore,India
308,Asad Rauf,India
309,Sundaram Ravi,India
310,S. Ravindhron,Pakistan
311,Ahsan Raza,India
312,Shozab Raza,India
313,Leslie Reifer,Pakistan
314,Paul Reiffel,Pakistan
315,Piloo Reporter,West Indies
316,Paul Reynolds,Australia
317,Dusty Rhodes,India
318,Rashid Riaz,Ireland
319,Riazuddin,England
320,Ian Robinson,Pakistan
321,Tim Robinson,Pakistan
322,Lou Rowan,Zimbabwe
323,Joydeb Roy,
324,Langton Rusere,England
325,Agha Saadat Ali,Australia
326,B. K. Sadashiva,India
327,Izatullah Safi,Zimbabwe
328,Amiesh Saheba,Pakistan
329,T. M. Samarasinghe,India
330,S. T. Sambandam,Afghanistan
331,Douglas Sang Hue,India
332,Chandra Sathe,Sri Lanka
333,H. S. Sekhon,India
334,Rajan Seth,West Indies
335,Mahboob Shah,India
336,Nadir Shah,India
337,Said Ahmed Shah,India
338,Ahmed Shahab,Pakistan
339,Chettithody S.,Bangladesh
340,Sharfuddoula,Pakistan
341,Devendra Sharma,India
342,Devinder Sharma,Bangladesh
343,Raman Sharma,India
344,S. K. Sharma,India
345,George Sharp,India
346,Suresh Shastri,India
347,Bill Sheahan,England
348,David Shepherd,India
349,Bismillah Jan ,Australia
350,Ivaturi Shivram,England
351,Shujauddin,Afghanistan
352,Gamini Silva,India
353,Jasbir Singh,Pakistan
354,M. R. Singh,Sri Lanka
355,Richard Smith,India
356,Tom Spencer,India
357,Lyndon Stevens,Ireland
358,Ronald Strang,England
359,M. G. Subramaniam,Australia
360,Shavir Tarapore,Zimbabwe
361,Simon Taufel,India
362,Ian Thomas,India
363,Ian Thomson,Australia
364,Claude Thorburn,Australia
365,Russell Tiffin,Hong Kong
366,Col Timmins,Namibia
367,Rod Tucker,Zimbabwe
368,Srinivasaraghavan,Australia
369,P. W. Vidanagamage,Australia
370,Rangachari,India
371,V. Vikramraju,Sri Lanka
372,Compton Vyfhuis,India
373,Shaid Wadvalla,India
374,Ernest Wainscott,West Indies
375,Derek Walker,South Africa
376,John Ward,New Zealand
377,Evan Watkin,New Zealand
378,Arthur Watson,Australia
379,Andrew Weekes,New Zealand
380,Don Weser,Australia
381,Alex Wharf,West Indies
382,Alan Whitehead,Australia
383,Rex Whitehead,England
384,Pat Whyte,England
385,Wickramasinghe,Australia
386,E. K. G. Wijewardene,West Indies
387,Tyron Wijewardene,Sri Lanka
388,Peter Willey,Sri Lanka
389,Jacqueline Williams,Sri Lanka
390,Joel Wilson,England
391,Paul Wilson,West Indies
392,Raveendra Wimalasiri,West Indies
393,Steve Woodward,Australia
394,Asif Yaqoob,Sri Lanka
395,Athar Zaidi,New Zealand